id,organism,fasta_file,title,description,is_shown
38,29,/usr/local/i5k/media/blast/db/LLUN_new_ids.faa,LLUN_new_ids.faa,Limnephilus lunatus Maker proteins v0.5.3 (BCM),True
37,30,/usr/local/i5k/media/blast/db/LREC_new_ids.faa,LREC_new_ids.faa,Loxosceles reclusa Maker proteins v0.5.3 (BCM),True
7,49,/usr/local/i5k/media/blast/db/Lalb_OGS_v5.42.pep.fa,Lalb_OGS_v5.42.pep.fa,"Lasioglossum albipes proteins, Lalb_OGS_v5.42",True
77,62,/usr/local/i5k/media/blast/db/MEAM1_v1.2-GCF_001854935.1_pep.fa,MEAM1_v1.2-GCF_001854935.1_pep.fa,"Bemisia tabaci OGS MEAM1_v1.2, proteins",True
8,50,/usr/local/i5k/media/blast/db/Megachile_rotundata_v1.1.pep.fa,Megachile_rotundata_v1.1.pep.fa,"Megachile rotundata v1.1, proteins",True
4,53,/usr/local/i5k/media/blast/db/Melipona_quadrifasciata_v1.1.pep.fa,Melipona_quadrifasciata_v1.1.pep.fa,Melipona quadrifasciata v1.1. proteins,True
91,67,/usr/local/i5k/media/blast/db/Mext_OGS_v1.0_pep.fa,Mext_OGS_v1.0_pep.fa,"Medauroidea extradentata annotations OGS v1.0, proteins",True
5,52,/usr/local/i5k/media/blast/db/NCBI_Dufourea_novaeangliae_Annotation_Release_100_protein.fa,NCBI_Dufourea_novaeangliae_Annotation_Release_100_protein.fa,"NCBI Dufourea novaeangliae Annotation Release 100, proteins",True
12,50,/usr/local/i5k/media/blast/db/NCBI_Megachile_rotundata_Annotation_Release_101_protein.fa,NCBI_Megachile_rotundata_Annotation_Release_101_protein.fa,"Megachile rotundata NCBI annotation release 101, proteins",True
46,22,/usr/local/i5k/media/blast/db/PTEP_new_ids.faa,PTEP_new_ids.faa,Parasteatoda tepidariorum Maker proteins v0.5.3 (BCM),True
47,21,/usr/local/i5k/media/blast/db/PVEN_new_ids.faa,PVEN_new_ids.faa,Pachypsylla venusta Maker proteins v0.5.3 (BCM),True
